//
// Esta lista contiene las descripciones de los PDIs según su Tipo.
//
// La data se creó de la información en "http://cricri-blog.blogspot.com/2006/06/code-objets-garmin-poi.html"
// y fue manualmente editada y ampliada por JoséH (www.gpsyv.net).
//
// Formato: Tipo (rango:Tipo-Tipo), Descripción.
// AGUA
0x6500,Water feature/Objeto Hidrografico
0x2a0d,Dining (bagel/donut)/Comida Pasteleria
0x2a0e,Dining (cafe/diner)/Comida Cafe/Cena
0x2a0f,Dining (French)/Comida Francesa
0x2a10,Dining (German)/Comida Alemana
0x2a11,Dining (British Isles)/Comida Britanica
0x2a12,Special food products/Alimentos especiales
// DEPORTE
0x2d05,Golf course/Campo de Golf
0x2d06,Skiing center/resort/Centro de Ski/Resort
0x2d07,Bowling center/Bowling
0x2d08,Ice skating/Patin sobre hielo
0x2d09,Swimming pool/Piscina
0x2d0a,Sports/Fitness Center/Deportes/Centro deportivo
0x2d0b,Public sports airport/Aeropuerto deportivo
// EDUCACION
0x2c05,School/Escuela
0x6410,School/Escuela
// EMERGENCIA/GOBIERNO
0x3000,Emergency/Governmental/Emergencia Gubernamental
0x3001,Police station/Policia
0x3002,Hospital/Hospital
0x3003,City hall/Municipalidad
0x3004,Court house/Juzgado
0x3005,Community center/Centro Comunitario
0x3006,Border crossing/Cruce de Frontera
0x3007,Government office/Oficina gubernamental
0x3008,Fire department/Bomberos
// ENTRETENIMIENTO
0x2d01,Live theatre/Teatro
0x2d04,Casino/Casino
0x2d03,Cinema/Cine
0x2d02,Bar/Nightclub/Bar/Club nocturno
0x2d00,Entertainment/Entretenimiento
// LABELS
0x1400,Nombre del Pais
0x1e00,Nombre del Estado
0x1f00,Nombre del Municipio
0x2800,Nombre
// LAND
0x6600,Land feature/Objeto terreste
0x6601,Arch/Arco
0x6602,Area /Area
0x6603,Basin/Delta
0x6604,Beach/Playa
0x6605,Bench/Nivelado
0x6606,Cape/Cabo
0x6607,Cliff/Acantilado
0x6608,Crater/Crater
0x6609,Flat/Meseta
0x660a,Forest/Bosque
0x660b,Gap/Precipicio
0x660c,Gut/Pasaje angosto
0x660d,Isthmus/Istmo
0x660e,Lava/Lava
0x660f,Pillar/Pilar/Columna
0x6610,Plain/Llanura
0x6611,Range/Sierra
0x6612,Reserve/Reserva
0x6613,Ridge/Cresta
0x6614,Rock/Roca
0x6615,Slope/Pendiente
0x6616,Summit/Cumbre/Cima
0x6617,Valley/Valle
0x6618,Wooded area/Zona Boscosa
// LODGING
0x2b00,Lodging/Alojamiento
0x2b01,Hotel/Motel/Hotel/Motel
0x2b02,Bed&Breakfast inn/
0x2b03,Camping/RV-Park)/Cmpamento/Casas rodantes
0x2b04,Resort/Resort
// MAN MADE
0x1200,Marina with facilities/Marina con instalaciones
0x2f09,Marina/Boat repair/Reparacion de embarcaciones
0x6400,Man-made place/Contruccion
0x6401,Bridge/Puente
0x6402,Building/Edificio
0x6403,Cemetery/Cementerio
0x6405,Civil bulding/Edificio Civil
0x6406,Crossing/Cruce
0x6407,Dam/Dique
0x6408,Hospital/Hospital
0x640a,Locale/Indicador
0x640b,Military/Militar
0x640c,Mine/Mina
0x640d,Oil field/Yacimiento petrolero
0x640e,Park/Parque
0x6411,Tower/Torre
0x6412,Trailhead/Inicio de sendero
0x6413,Tunnel/Tunel
0x6414,Well/Pozo/Aljibe
0x6415,Historical (ghost) town/Pueblo historico
0x6416,Subdivision of housing/Anexo de propiedad
// RELIGION
0x2c0b,Place of worship/Lugar de culto
0x6404,Church/mosque/etc/Iglesia/Mezquita
// SERVICIOS
0x2900,Uncategorized business/Comercion no categorizado
0x2f00,Generic services/Servicios generales
0x2f05,Post office/Correo
0x2f06,Bank/ATM/Banco/Cajero
0x2f0a,Wrecker service/Auxilio mecanico/Remolque
0x2f0c,Rest area/Tourist info/Area de descanso/Informacion turistica
0x2f10,Personal services/Servicios a particulares
0x2f11,Business service/Servicios comerciales
0x2f12,Communication service/Servicios de comunicaciones
0x2f13,Repair service/Servicios de reparacion
0x2f14,Social service/Servicio social
0x2f15,Public utilities/Instalaciones publicas
0x640f,Post office/Correo
// SHOPPING
// 0x2e00,Shopping)/Centro Comercial
0x2e01,Department store/Grandes tiendas
0x2e02,Grocery store/Tienda de Comestibles
0x2e03,General merchandiser/Comercio general
0x2e04,Shopping center/Centro Comercial
0x2e05,Pharmacy/Farmacia
0x2e06,Convenience store/Drugstore
0x2e07,Apparel/Indumentaria
0x2e08,House and garden/Casa y jardin
0x2e09,Home furnishing/Muebles
0x2e0a,Speciality retail/Especialidades
0x2e0b,Computer/Software/Informatica/Software
0x2f0f,Garmin dealer/Distribuidor Garmin
// TRANSPORTE
0x2f08,Ground transportation/Trasporte publico
0x2f04,Air transportation/Transporte aereo
0x2f17,Transit service/Servicio de trafico
// MARINOS
0x1c00,Obstruction/Obstruccion
0x1c01,Wreck/Naufragio
0x1c02,Submerged wreck-dangerous/Naufragio Sumergido Peligroso
0x1c03,Submerged wreck non-dangerous/Naufragio Sumergido no Peligroso
0x1c04,Wreck  cleared by wire-drag/Naufragio delimitado por boyas
0x1c05,Obstr visible at high water/Obstr visible con marea alta
0x1c06,Obstruction awash/Obstruccion inundada
0x1c07,Obstruction submerged/Obstruccion sumergida
0x1c08,Obstr cleared by wire-drag/Obsts delimitada por boyas
0x1c09,Rock awash/Roca sumergida
0x1c0a,Rock submerged at low water/Roca sumergida con marea baja
0x1c0b,Possible grounding risk/Sondeo
0x1d00,Tide prediction/Prediccion de mareas
// MARINOS-ESPECIALES NO APARECEN EN LOS GPS
0x160c,Unlit navaid orange
0x160d,Unlit navaid multi colored
0x1610,Navaid red
0x1611,Navaid green
0x1613,Navaid orange
0x1616,Navaid multi colored
0x1700,Navaid
0x170f,Navaid white
0x1710,Navaid red
0x1711,Navaid green
0x1712,Navaid yellow/amber
0x1713,Navaid orange
0x1716,Navaid multi colored
0x180f,Navaid white
0x1810,Navaid red
0x1811,Navaid green
0x1812,Navaid yellow/amber
0x1815,Navaid blue
0x190f,Navaid white
0x1910,Navaid red
0x1911,Navaid green
0x1916,Navaid multi colored
0x1a0f,Navaid white
0x1a16,Navaid multi colored
0x1b07,Unlit navaid white
0x1b0f,Navaid white
0x1b10,Navaid red
0x1b11,Navaid green
0x1b12,Navaid yellow/amber
0x1b13,Navaid orange
0x1b16,Navaid multi colored
// SALIDAS NO APARECEN EN LOS GPS
0x2000,HW Exit
0x2100,HW Exit with facilities
0x210f,HW Exit service
0x2110,HW Exit with facilities
0x2200,HW Exit restroom
0x2300,HW Exit convenience store
0x2400,HW Exit weight station
0x2500,HW Exit toll booth
0x2600,HW Exit information
0x2700,HW Exit
